path,prob_normal,prob_hentai,prob_porn,prob_sexy,prob_anime,true_label,hentai_prob,porn_prob,hentai_oof,porn_oof,nsfw_max_raw,nsfw_max_oof
data\normal\normal_10_0001.jpg,0.967,1.43e-05,0.0001305,7.015e-05,0.03284,normal,1.43e-05,0.0001305,0.0,0.0,0.0001305,0.0
data\normal\normal_10_0002.jpg,0.9976,0.000403,0.0002632,0.001105,0.000766,normal,0.000403,0.0002632,0.00043591979075850045,0.0,0.000403,0.00043591979075850045
data\normal\normal_10_0003.jpg,0.9995,3.564e-05,7.62e-05,6.604e-05,0.0002347,normal,3.564e-05,7.62e-05,0.0,0.0,7.62e-05,0.0
data\normal\normal_10_0004.jpg,0.95,0.000676,0.0134,0.006924,0.02861,normal,0.000676,0.0134,0.00043591979075850045,0.01909307875894988,0.0134,0.01909307875894988
data\normal\normal_10_0005.jpg,0.9653,0.001557,0.02098,0.00952,0.002686,normal,0.001557,0.02098,0.00027240533914464724,0.02100840336134454,0.02098,0.02100840336134454
data\normal\normal_10_0006.jpg,0.9995,7.55e-05,0.0001868,0.0001686,0.0001409,normal,7.55e-05,0.0001868,0.0,0.0,0.0001868,0.0
data\normal\normal_10_0007.jpg,0.9297,0.001384,0.001859,0.0625,0.00468,normal,0.001384,0.001859,0.0007446016381236039,0.001128668171557562,0.001859,0.001128668171557562
data\normal\normal_10_0008.jpg,0.999,0.000129,0.0002139,0.0002097,0.000633,normal,0.000129,0.0002139,0.0,0.0,0.0002139,0.0
data\normal\normal_10_0009.jpg,1.0,4.1e-06,2.34e-05,4.035e-05,2.664e-05,normal,4.1e-06,2.34e-05,0.0,0.0,2.34e-05,0.0
data\normal\normal_10_0010.jpg,0.991,0.0005975,0.003561,0.00308,0.001788,normal,0.0005975,0.003561,0.00043402777777777775,0.005226480836236934,0.003561,0.005226480836236934
data\normal\normal_10_0011.jpg,0.997,0.0002828,0.000294,0.0009565,0.001538,normal,0.0002828,0.000294,0.00043591979075850045,0.0,0.000294,0.00043591979075850045
