Image_Name,Status,Normal_%,Hentai_%,Porn_%,Sexy_%,Anime_%,is_NSFW
Anime.jpg,OK,0.0,0.57,0.0,0.0,99.43,False
bikini.jpg,OK,0.05,0.0,0.87,99.08,0.0,False
girl-3641895_1280.jpg,OK,80.89,0.01,1.2,17.78,0.12,False
GuysMuscle.jpg,OK,34.31,0.47,50.83,14.15,0.23,True
kiss.webp,OK,11.3,10.43,62.56,13.24,2.47,True
kiss2.webp,OK,1.47,0.01,98.39,0.13,0.01,True
lovescence.jpg,OK,14.23,0.36,83.27,2.01,0.13,True
lovescence2.jpg,OK,0.0,0.0,99.99,0.0,0.0,True
lovescencemormal.jpg,OK,11.66,0.05,53.49,34.71,0.09,True
lovescencenipple.jpg,OK,6.14,0.07,33.82,59.79,0.18,True
lovescencenude.jpg,OK,8.25,0.23,89.27,1.73,0.51,True
nipple-768x768.jpeg,OK,28.17,0.21,5.56,65.98,0.08,False
nipplemen.webp,OK,0.09,0.14,24.96,74.81,0.0,True
Nude.jpg,OK,0.13,0.0,48.01,51.86,0.0,True
original.jpg,OK,0.28,0.0,0.24,99.48,0.0,False
porn.jpg,OK,0.12,0.01,79.73,20.15,0.0,True
Sexy.jpg,OK,0.16,0.0,2.11,97.72,0.0,False
sexy2.jpg,OK,0.6,0.02,39.04,60.33,0.01,True
