Image_Name,Custom_Status,Custom_Normal_%,Custom_Hentai_%,Custom_Porn_%,Custom_Sexy_%,Custom_Anime_%,Custom_is_NSFW,HF_Status,HF_Anime_picture_%,HF_Hentai_%,HF_Normal_%,HF_Pornography_%,HF_Enticing_or_sensual_%,HF_is_NSFW
Anime.jpg,OK,0.2,0.18,0.01,0.13,99.49,False,OK,99.43,0.57,0.0,0.0,0.0,False
bikini.jpg,OK,0.04,0.05,0.03,99.87,0.01,False,OK,0.0,0.0,0.05,0.87,99.08,False
girl-3641895_1280.jpg,OK,98.77,0.03,0.03,0.23,0.94,False,OK,0.12,0.01,80.89,1.2,17.78,False
GuysMuscle.jpg,OK,0.34,0.3,1.81,97.51,0.04,False,OK,0.23,0.47,34.31,50.83,14.15,True
kiss.webp,OK,99.53,0.03,0.09,0.22,0.13,False,OK,2.47,10.43,11.3,62.56,13.24,True
kiss2.webp,OK,99.57,0.01,0.22,0.16,0.04,False,OK,0.01,0.01,1.47,98.39,0.13,True
nipple-768x768.jpeg,OK,0.06,0.11,99.57,0.25,0.0,True,OK,0.08,0.21,28.17,5.56,65.98,False
nipplemen.webp,OK,1.2,0.52,90.95,7.29,0.04,True,OK,0.0,0.14,0.09,24.96,74.81,True
Nude.jpg,OK,0.18,0.29,99.28,0.25,0.01,True,OK,0.0,0.0,0.13,48.01,51.86,True
original.jpg,OK,0.27,0.03,0.06,99.62,0.03,False,OK,0.0,0.0,0.28,0.24,99.48,False
porn.jpg,OK,0.14,0.22,97.2,2.43,0.01,True,OK,0.0,0.01,0.12,79.73,20.15,True
Sexy.jpg,OK,5.38,1.39,0.18,92.17,0.87,False,OK,0.0,0.0,0.16,2.11,97.72,False
sexy2.jpg,OK,0.18,0.04,0.1,99.66,0.02,False,OK,0.01,0.02,0.6,39.04,60.33,True
