user_id,post_id,total_interaction_score,post_content,post_title,category_name,user_age,action_types,interaction_time
82,46,2,Content of post 46,Post Title 46,Category C,34,comment,2024-01-27 20:45:14.918303
21,89,2,Content of post 89,Post Title 89,Category D,22,share,2022-05-31 20:45:14.918303
170,52,1,Content of post 52,Post Title 52,Category C,36,share,2022-11-22 20:45:14.918303
20,33,3,Content of post 33,Post Title 33,Category D,39,share,2023-11-17 20:45:14.918303
162,100,2,Content of post 100,Post Title 100,Category D,43,like,2023-02-07 20:45:14.918303
99,85,5,Content of post 85,Post Title 85,Category A,50,share,2023-07-20 20:45:14.918303
57,6,5,Content of post 6,Post Title 6,Category A,39,click,2024-01-19 20:45:14.918303
107,54,1,Content of post 54,Post Title 54,Category A,18,share,2023-04-08 20:45:14.918303
31,53,5,Content of post 53,Post Title 53,Category D,28,share,2024-06-24 20:45:14.918303
67,13,1,Content of post 13,Post Title 13,Category A,32,share,2024-03-27 20:45:14.918303
186,89,4,Content of post 89,Post Title 89,Category A,50,click,2022-06-23 20:45:14.918303
58,20,1,Content of post 20,Post Title 20,Category C,37,share,2022-10-09 20:45:14.918303
17,61,2,Content of post 61,Post Title 61,Category A,25,comment,2023-08-03 20:45:14.918303
61,57,2,Content of post 57,Post Title 57,Category C,31,comment,2024-10-27 20:45:14.918303
164,64,4,Content of post 64,Post Title 64,Category D,47,like,2023-01-28 20:45:14.918303
31,23,4,Content of post 23,Post Title 23,Category C,23,comment,2023-04-04 20:45:14.918303
41,56,5,Content of post 56,Post Title 56,Category B,25,comment,2023-01-08 20:45:14.918303
139,38,3,Content of post 38,Post Title 38,Category A,21,click,2024-11-13 20:45:14.918303
15,31,1,Content of post 31,Post Title 31,Category C,42,comment,2024-04-04 20:45:14.918303
198,74,4,Content of post 74,Post Title 74,Category C,43,share,2023-09-04 20:45:14.918303
190,91,3,Content of post 91,Post Title 91,Category D,27,click,2023-02-09 20:45:14.918303
5,97,1,Content of post 97,Post Title 97,Category D,31,like,2023-06-22 20:45:14.918303
22,82,1,Content of post 82,Post Title 82,Category B,32,like,2023-06-22 20:45:14.918303
97,88,1,Content of post 88,Post Title 88,Category C,22,click,2022-07-04 20:45:14.918303
195,20,3,Content of post 20,Post Title 20,Category B,23,comment,2024-10-17 20:45:14.918303
105,69,1,Content of post 69,Post Title 69,Category D,22,like,2022-11-11 20:45:14.918303
187,51,5,Content of post 51,Post Title 51,Category B,39,click,2024-07-04 20:45:14.918303
44,85,4,Content of post 85,Post Title 85,Category D,27,click,2022-08-30 20:45:14.918303
101,35,1,Content of post 35,Post Title 35,Category C,48,comment,2023-08-19 20:45:14.918303
98,58,3,Content of post 58,Post Title 58,Category A,21,share,2023-02-27 20:45:14.918303
96,62,2,Content of post 62,Post Title 62,Category B,33,like,2024-01-17 20:45:14.918303
5,7,1,Content of post 7,Post Title 7,Category C,49,share,2023-09-21 20:45:14.918303
